E_eV,T_from_T22,T_from_S21
6.101525381345336389e-03,4.353420765281510286e-08,4.353420765281510286e-08
6.151537884471118198e-03,4.409223406138380652e-08,4.409223406138381314e-08
6.201550387596900006e-03,4.465452039799059745e-08,4.465452039799059745e-08
6.251562890722680947e-03,4.522109574769470222e-08,4.522109574769470222e-08
6.301575393848462756e-03,4.579198938969453125e-08,4.579198938969454449e-08
6.351587896974243697e-03,4.636723079863883956e-08,4.636723079863883956e-08
6.401600400100025505e-03,4.694684964594654963e-08,4.694684964594653640e-08
6.451612903225807313e-03,4.753087580113820783e-08,4.753087580113818798e-08
6.501625406351588254e-03,4.811933933317421040e-08,4.811933933317421702e-08
6.551637909477370063e-03,4.871227051180401448e-08,4.871227051180400125e-08
6.601650412603151004e-03,4.930969980892282680e-08,4.930969980892283342e-08
6.651662915728932812e-03,4.991165789994116992e-08,4.991165789994114345e-08
6.701675418854714621e-03,5.051817566515957038e-08,5.051817566515957038e-08
6.751687921980495562e-03,5.112928419115622367e-08,5.112928419115623690e-08
6.801700425106277370e-03,5.174501477218413537e-08,5.174501477218413537e-08
6.851712928232058311e-03,5.236539891157464152e-08,5.236539891157464814e-08
6.901725431357840120e-03,5.299046832315549395e-08,5.299046832315550057e-08
6.951737934483621061e-03,5.362025493267471605e-08,5.362025493267472267e-08
7.001750437609402869e-03,5.425479087923754126e-08,5.425479087923754787e-08
7.051762940735184677e-03,5.489410851675194091e-08,5.489410851675194753e-08
7.101775443860965618e-03,5.553824041538253649e-08,5.553824041538251002e-08
7.151787946986747427e-03,5.618721936301916944e-08,5.618721936301917606e-08
7.201800450112528368e-03,5.684107836675091717e-08,5.684107836675091056e-08
7.251812953238310176e-03,5.749985065435319836e-08,5.749985065435318513e-08
7.301825456364091985e-03,5.816356967578592279e-08,5.816356967578592940e-08
7.351837959489872926e-03,5.883226910469751742e-08,5.883226910469749757e-08
7.401850462615654734e-03,5.950598283994683290e-08,5.950598283994681966e-08
7.451862965741435675e-03,6.018474500712760428e-08,6.018474500712760428e-08
7.501875468867217484e-03,6.086858996011170540e-08,6.086858996011167893e-08
7.551887971992998425e-03,6.155755228259595012e-08,6.155755228259597659e-08
7.601900475118780233e-03,6.225166678966376300e-08,6.225166678966376300e-08
7.651912978244562041e-03,6.295096852935703424e-08,6.295096852935703424e-08
7.701925481370342982e-03,6.365549278425963455e-08,6.365549278425963455e-08
7.751937984496124791e-03,6.436527507309037967e-08,6.436527507309037967e-08
7.801950487621905732e-03,6.508035115230773434e-08,6.508035115230770787e-08
7.851962990747687540e-03,6.580075701772700995e-08,6.580075701772699671e-08
7.901975493873468481e-03,6.652652890614816329e-08,6.652652890614815006e-08
7.951987996999251157e-03,6.725770329699325690e-08,6.725770329699323043e-08
8.002000500125032098e-03,6.799431691395827911e-08,6.799431691395827911e-08
8.052013003250813039e-03,6.873640672667536689e-08,6.873640672667536689e-08
8.102025506376593980e-03,6.948400995238637079e-08,6.948400995238638402e-08
8.152038009502376656e-03,7.023716405762830500e-08,7.023716405762831824e-08
8.202050512628157597e-03,7.099590675993064254e-08,7.099590675993065578e-08
8.252063015753938538e-03,7.176027602952489243e-08,7.176027602952490567e-08
8.302075518879721214e-03,7.253031009106534713e-08,7.253031009106537360e-08
8.352088022005502155e-03,7.330604742536516922e-08,7.330604742536516922e-08
8.402100525131283096e-03,7.408752677113806316e-08,7.408752677113808963e-08
8.452113028257065772e-03,7.487478712675934948e-08,7.487478712675933624e-08
8.502125531382846713e-03,7.566786775203557539e-08,7.566786775203557539e-08
8.552138034508627654e-03,7.646680816998491187e-08,7.646680816998487217e-08
8.602150537634408595e-03,7.727164816863815749e-08,7.727164816863815749e-08
8.652163040760191270e-03,7.808242780284023187e-08,7.808242780284023187e-08
8.702175543885972211e-03,7.889918739607575671e-08,7.889918739607574347e-08
8.752188047011753153e-03,7.972196754230042041e-08,7.972196754230042041e-08
8.802200550137535828e-03,8.055080910778744372e-08,8.055080910778743048e-08
8.852213053263316769e-03,8.138575323298913319e-08,8.138575323298915966e-08
8.902225556389097710e-03,8.222684133440681224e-08,8.222684133440679901e-08
8.952238059514878651e-03,8.307411510647967821e-08,8.307411510647970468e-08
9.002250562640661327e-03,8.392761652348075322e-08,8.392761652348073999e-08
9.052263065766442268e-03,8.478738784143307124e-08,8.478738784143308448e-08
9.102275568892223209e-03,8.565347160003318404e-08,8.565347160003319727e-08
9.152288072018005885e-03,8.652591062459184600e-08,8.652591062459180629e-08
9.202300575143786826e-03,8.740474802798776180e-08,8.740474802798776180e-08
9.252313078269567767e-03,8.829002721263513807e-08,8.829002721263512484e-08
9.302325581395348708e-03,8.918179187246371554e-08,8.918179187246372878e-08
9.352338084521131384e-03,9.008008599491481544e-08,9.008008599491482867e-08
9.402350587646912325e-03,9.098495386295210302e-08,9.098495386295207655e-08
9.452363090772693266e-03,9.189644005708260822e-08,9.189644005708259498e-08
9.502375593898475942e-03,9.281458945739575894e-08,9.281458945739573247e-08
9.552388097024256883e-03,9.373944724561653597e-08,9.373944724561652273e-08
9.602400600150037824e-03,9.467105890717104223e-08,9.467105890717101576e-08
9.652413103275820500e-03,9.560947023326950238e-08,9.560947023326950238e-08
9.702425606401601441e-03,9.655472732300202088e-08,9.655472732300200765e-08
9.752438109527382382e-03,9.750687658544953362e-08,9.750687658544953362e-08
9.802450612653163323e-03,9.846596474180907981e-08,9.846596474180906658e-08
9.852463115778945998e-03,9.943203882753774823e-08,9.943203882753774823e-08
9.902475618904726939e-03,1.004051461945072511e-07,1.004051461945072379e-07
9.952488122030507880e-03,1.013853345131752534e-07,1.013853345131752799e-07
1.000250062515629056e-02,1.023726517747745956e-07,1.023726517747745824e-07
1.005251312828207150e-02,1.033671462935139250e-07,1.033671462935139382e-07
1.010252563140785244e-02,1.043688667087983912e-07,1.043688667087984177e-07
1.015253813453363338e-02,1.053778619874611013e-07,1.053778619874611410e-07
1.020255063765941606e-02,1.063941814260162013e-07,1.063941814260162013e-07
1.025256314078519700e-02,1.074178746529228361e-07,1.074178746529228228e-07
1.030257564391097794e-02,1.084489916308679299e-07,1.084489916308679299e-07
1.035258814703676061e-02,1.094875826590664894e-07,1.094875826590665026e-07
1.040260065016254155e-02,1.105336983755726936e-07,1.105336983755726539e-07
1.045261315328832250e-02,1.115873897596143695e-07,1.115873897596143959e-07
1.050262565641410517e-02,1.126487081339413510e-07,1.126487081339413775e-07
1.055263815953988611e-02,1.137177051671877749e-07,1.137177051671878014e-07
1.060265066266566705e-02,1.147944328762542282e-07,1.147944328762542414e-07
1.065266316579144799e-02,1.158789436287081338e-07,1.158789436287081338e-07
1.070267566891723067e-02,1.169712901451983767e-07,1.169712901451984296e-07
1.075268817204301161e-02,1.180715255018869241e-07,1.180715255018869638e-07
1.080270067516879255e-02,1.191797031329011838e-07,1.191797031329012102e-07
1.085271317829457523e-02,1.202958768328013189e-07,1.202958768328013189e-07
1.090272568142035617e-02,1.214201007590645292e-07,1.214201007590645028e-07
1.095273818454613711e-02,1.225524294345895159e-07,1.225524294345894630e-07
1.100275068767191805e-02,1.236929177502172514e-07,1.236929177502172778e-07
1.105276319079770073e-02,1.248416209672688491e-07,1.248416209672688491e-07
1.110277569392348167e-02,1.259985947201066732e-07,1.259985947201067262e-07
1.115278819704926261e-02,1.271638950187047665e-07,1.271638950187047930e-07
1.120280070017504528e-02,1.283375782512459321e-07,1.283375782512459321e-07
1.125281320330082623e-02,1.295197011867351217e-07,1.295197011867351217e-07
1.130282570642660717e-02,1.307103209776278848e-07,1.307103209776279113e-07
1.135283820955238984e-02,1.319094951624834343e-07,1.319094951624834343e-07
1.140285071267817078e-02,1.331172816686313712e-07,1.331172816686313712e-07
1.145286321580395172e-02,1.343337388148618083e-07,1.343337388148618348e-07
1.150287571892973267e-02,1.355589253141324345e-07,1.355589253141323815e-07
1.155288822205551534e-02,1.367929002762942931e-07,1.367929002762942667e-07
1.160290072518129628e-02,1.380357232108417012e-07,1.380357232108417277e-07
1.165291322830707722e-02,1.392874540296748473e-07,1.392874540296748208e-07
1.170292573143285990e-02,1.405481530498864502e-07,1.405481530498865032e-07
1.175293823455864084e-02,1.418178809965716588e-07,1.418178809965716324e-07
1.180295073768442178e-02,1.430966990056485393e-07,1.430966990056485128e-07
1.185296324081020272e-02,1.443846686267112261e-07,1.443846686267111732e-07
1.190297574393598540e-02,1.456818518258925229e-07,1.456818518258925229e-07
1.195298824706176634e-02,1.469883109887516760e-07,1.469883109887517025e-07
1.200300075018754728e-02,1.483041089231860503e-07,1.483041089231860503e-07
1.205301325331332996e-02,1.496293088623565160e-07,1.496293088623565425e-07
1.210302575643911090e-02,1.509639744676431706e-07,1.509639744676432235e-07
1.215303825956489184e-02,1.523081698316123094e-07,1.523081698316122565e-07
1.220305076269067278e-02,1.536619594810123024e-07,1.536619594810122495e-07
1.225306326581645545e-02,1.550254083797873633e-07,1.550254083797873368e-07
1.230307576894223640e-02,1.563985819321143746e-07,1.563985819321144010e-07
1.235308827206801734e-02,1.577815459854624766e-07,1.577815459854625031e-07
1.240310077519380001e-02,1.591743668336712646e-07,1.591743668336713704e-07
1.245311327831958095e-02,1.605771112200563818e-07,1.605771112200563289e-07
1.250312578144536189e-02,1.619898463405315512e-07,1.619898463405314983e-07
1.255313828457114457e-02,1.634126398467594049e-07,1.634126398467593784e-07
1.260315078769692551e-02,1.648455598493176674e-07,1.648455598493176144e-07
1.265316329082270645e-02,1.662886749208997487e-07,1.662886749208997487e-07
1.270317579394848739e-02,1.677420540995226174e-07,1.677420540995225909e-07
1.275318829707427007e-02,1.692057668917731859e-07,1.692057668917732389e-07
1.280320080020005101e-02,1.706798832760675618e-07,1.706798832760675353e-07
1.285321330332583195e-02,1.721644737059402349e-07,1.721644737059402084e-07
1.290322580645161463e-02,1.736596091133525619e-07,1.736596091133525355e-07
1.295323830957739557e-02,1.751653609120281703e-07,1.751653609120281703e-07
1.300325081270317651e-02,1.766818010008141967e-07,1.766818010008141967e-07
1.305326331582895745e-02,1.782090017670594661e-07,1.782090017670594397e-07
1.310327581895474013e-02,1.797470360900236936e-07,1.797470360900236407e-07
1.315328832208052107e-02,1.812959773443145059e-07,1.812959773443145324e-07
1.320330082520630201e-02,1.828558994033365065e-07,1.828558994033365330e-07
1.325331332833208468e-02,1.844268766427795691e-07,1.844268766427796485e-07
1.330332583145786562e-02,1.860089839441247335e-07,1.860089839441247865e-07
1.335333833458364657e-02,1.876022966981760683e-07,1.876022966981760154e-07
1.340335083770942924e-02,1.892068908086193739e-07,1.892068908086193474e-07
1.345336334083521018e-02,1.908228426956095523e-07,1.908228426956096317e-07
1.350337584396099112e-02,1.924502292993773528e-07,1.924502292993773263e-07
1.355338834708677206e-02,1.940891280838681198e-07,1.940891280838681462e-07
1.360340085021255474e-02,1.957396170404049719e-07,1.957396170404049454e-07
1.365341335333833568e-02,1.974017746913781334e-07,1.974017746913781334e-07
1.370342585646411662e-02,1.990756800939626413e-07,1.990756800939625883e-07
1.375343835958989930e-02,2.007614128438607485e-07,2.007614128438607750e-07
1.380345086271568024e-02,2.024590530790755088e-07,2.024590530790755883e-07
1.385346336584146118e-02,2.041686814837050873e-07,2.041686814837050608e-07
1.390347586896724212e-02,2.058903792917740225e-07,2.058903792917739695e-07
1.395348837209302480e-02,2.076242282910823562e-07,2.076242282910824357e-07
1.400350087521880574e-02,2.093703108270939382e-07,2.093703108270939912e-07
1.405351337834458668e-02,2.111287098068404802e-07,2.111287098068404802e-07
1.410352588147036935e-02,2.128995087028663739e-07,2.128995087028664268e-07
1.415353838459615030e-02,2.146827915571898138e-07,2.146827915571898138e-07
1.420355088772193124e-02,2.164786429853081253e-07,2.164786429853081782e-07
1.425356339084771218e-02,2.182871481802174384e-07,2.182871481802174119e-07
1.430357589397349485e-02,2.201083929164713787e-07,2.201083929164714581e-07
1.435358839709927579e-02,2.219424635542620989e-07,2.219424635542620459e-07
1.440360090022505674e-02,2.237894470435423374e-07,2.237894470435423638e-07
1.445361340335083941e-02,2.256494309281634926e-07,2.256494309281634662e-07
1.450362590647662035e-02,2.275225033500553598e-07,2.275225033500553863e-07
1.455363840960240129e-02,2.294087530534307758e-07,2.294087530534307494e-07
1.460365091272818397e-02,2.313082693890217108e-07,2.313082693890217108e-07
1.465366341585396491e-02,2.332211423183483930e-07,2.332211423183483136e-07
1.470367591897974585e-02,2.351474624180197489e-07,2.351474624180196959e-07
1.475368842210552679e-02,2.370873208840576906e-07,2.370873208840576641e-07
1.480370092523130947e-02,2.390408095362699244e-07,2.390408095362699773e-07
1.485371342835709041e-02,2.410080208226345632e-07,2.410080208226345632e-07
1.490372593148287135e-02,2.429890478237332592e-07,2.429890478237332592e-07
1.495373843460865403e-02,2.449839842572073911e-07,2.449839842572073911e-07
1.500375093773443497e-02,2.469929244822504090e-07,2.469929244822503561e-07
1.505376344086021591e-02,2.490159635041337965e-07,2.490159635041338495e-07
1.510377594398599685e-02,2.510531969787646902e-07,2.510531969787646902e-07
1.515378844711177952e-02,2.531047212172762687e-07,2.531047212172763746e-07
1.520380095023756047e-02,2.551706331906560996e-07,2.551706331906562054e-07
1.525381345336334141e-02,2.572510305344049265e-07,2.572510305344048735e-07
